llm_model	model_name	provider	is_free	cost	numeric_cost	description
mistralai/mistral-small-3.2-24b-instruct:free	Mistral Small 3.2 24B (free)	Mistral	Y	$0/1M	0.0	Mistral: Mistral Small 3.2 24B (free) ($0/1M)
mistralai/mixtral-8x22b-instruct	Mixtral 8x22B Instruct	Mistral	N	$0.0000009/1M	9e-07	Mistral: Mixtral 8x22B Instruct ($0.0000009/1M)
mistralai/mixtral-8x7b-instruct	Mixtral 8x7B Instruct	Mistral	N	$0.00000008/1M	8e-08	Mistral: Mixtral 8x7B Instruct ($0.00000008/1M)
mistralai/pixtral-12b	Pixtral 12B	Mistral	N	$0.0000001/1M	1e-07	Mistral: Pixtral 12B ($0.0000001/1M)
mistralai/pixtral-large-2411	Pixtral Large 2411	Mistral	N	$0.000002/1M	2e-06	Mistral: Pixtral Large 2411 ($0.000002/1M)
mistralai/mistral-saba	Saba	Mistral	N	$0.0000002/1M	2e-07	Mistral: Saba ($0.0000002/1M)
moonshotai/kimi-vl-a3b-thinking	Kimi VL A3B Thinking	Moonshot AI	N	$0.000000038/1M	3.8e-08	Moonshot AI: Kimi VL A3B Thinking ($0.000000038/1M)
moonshotai/kimi-vl-a3b-thinking:free	Kimi VL A3B Thinking (free)	Moonshot AI	Y	$0/1M	0.0	Moonshot AI: Kimi VL A3B Thinking (free) ($0/1M)
moonshotai/kimi-k2	Kimi K2	MoonshotAI	N	$0.00000014/1M	1.4e-07	MoonshotAI: Kimi K2 ($0.00000014/1M)
moonshotai/kimi-k2:free	Kimi K2 (free)	MoonshotAI	Y	$0/1M	0.0	MoonshotAI: Kimi K2 (free) ($0/1M)
morph/morph-v2	Fast Apply	Morph	N	$0.0000012/1M	1.2e-06	Morph: Fast Apply ($0.0000012/1M)
morph/morph-v3-fast	Morph V3 Fast	Morph	N	$0.0000012/1M	1.2e-06	Morph: Morph V3 Fast ($0.0000012/1M)
morph/morph-v3-large	Morph V3 Large	Morph	N	$0.0000012/1M	1.2e-06	Morph: Morph V3 Large ($0.0000012/1M)
gryphe/mythomax-l2-13b	13B	MythoMax	N	$0.00000006/1M	6e-08	MythoMax 13B ($0.00000006/1M)
nvidia/llama-3.1-nemotron-70b-instruct	Llama 3.1 Nemotron 70B Instruct	NVIDIA	N	$0.00000012/1M	1.2e-07	NVIDIA: Llama 3.1 Nemotron 70B Instruct ($0.00000012/1M)
nvidia/llama-3.1-nemotron-ultra-253b-v1	Llama 3.1 Nemotron Ultra 253B v1	NVIDIA	N	$0.0000006/1M	6e-07	NVIDIA: Llama 3.1 Nemotron Ultra 253B v1 ($0.0000006/1M)
nvidia/llama-3.1-nemotron-ultra-253b-v1:free	Llama 3.1 Nemotron Ultra 253B v1 (free)	NVIDIA	Y	$0/1M	0.0	NVIDIA: Llama 3.1 Nemotron Ultra 253B v1 (free) ($0/1M)
nvidia/llama-3.3-nemotron-super-49b-v1	Llama 3.3 Nemotron Super 49B v1	NVIDIA	N	$0.00000013/1M	1.3e-07	NVIDIA: Llama 3.3 Nemotron Super 49B v1 ($0.00000013/1M)
neversleep/llama-3-lumimaid-70b	Llama 3 Lumimaid 70B	NeverSleep	N	$0.000004/1M	4e-06	NeverSleep: Llama 3 Lumimaid 70B ($0.000004/1M)
neversleep/llama-3.1-lumimaid-8b	Lumimaid v0.2 8B	NeverSleep	N	$0.00000018/1M	1.8e-07	NeverSleep: Lumimaid v0.2 8B ($0.00000018/1M)
neversleep/noromaid-20b	20B	Noromaid	N	$0.00000125/1M	1.25e-06	Noromaid 20B ($0.00000125/1M)
nousresearch/deephermes-3-llama-3-8b-preview:free	DeepHermes 3 Llama 3 8B Preview (free)	Nous	Y	$0/1M	0.0	Nous: DeepHermes 3 Llama 3 8B Preview (free) ($0/1M)
nousresearch/deephermes-3-mistral-24b-preview	DeepHermes 3 Mistral 24B Preview	Nous	N	$0.000000141/1M	1.41e-07	Nous: DeepHermes 3 Mistral 24B Preview ($0.000000141/1M)
nousresearch/nous-hermes-2-mixtral-8x7b-dpo	Hermes 2 Mixtral 8x7B DPO	Nous	N	$0.0000006/1M	6e-07	Nous: Hermes 2 Mixtral 8x7B DPO ($0.0000006/1M)
nousresearch/hermes-3-llama-3.1-405b	Hermes 3 405B Instruct	Nous	N	$0.0000007/1M	7e-07	Nous: Hermes 3 405B Instruct ($0.0000007/1M)
nousresearch/hermes-3-llama-3.1-70b	Hermes 3 70B Instruct ⚡	Nous	N	$0.0000001/1M	1e-07	Nous: Hermes 3 70B Instruct ⚡ ($0.0000001/1M)
nousresearch/hermes-2-pro-llama-3-8b	Hermes 2 Pro - Llama-3 8B	NousResearch	N	$0.000000025/1M	2.5e-08	NousResearch: Hermes 2 Pro - Llama-3 8B ($0.000000025/1M)
openai/chatgpt-4o-latest	ChatGPT-4o ⚡	OpenAI	N	$0.000005/1M	5e-06	OpenAI: ChatGPT-4o ⚡ ($0.000005/1M)
openai/codex-mini	Codex Mini	OpenAI	N	$0.0000015/1M	1.5e-06	OpenAI: Codex Mini ($0.0000015/1M)
openai/gpt-3.5-turbo	GPT-3.5 Turbo	OpenAI	N	$0.0000005/1M	5e-07	OpenAI: GPT-3.5 Turbo ($0.0000005/1M)
openai/gpt-3.5-turbo-0613	GPT-3.5 Turbo (older v0613)	OpenAI	N	$0.000001/1M	1e-06	OpenAI: GPT-3.5 Turbo (older v0613) ($0.000001/1M)
openai/gpt-3.5-turbo-16k	GPT-3.5 Turbo 16k	OpenAI	N	$0.000003/1M	3e-06	OpenAI: GPT-3.5 Turbo 16k ($0.000003/1M)
openai/gpt-3.5-turbo-instruct	GPT-3.5 Turbo Instruct	OpenAI	N	$0.0000015/1M	1.5e-06	OpenAI: GPT-3.5 Turbo Instruct ($0.0000015/1M)
openai/gpt-4-0314	GPT-4 (older v0314) ⚡	OpenAI	N	$0.00003/1M	3e-05	OpenAI: GPT-4 (older v0314) ⚡ ($0.00003/1M)
openai/gpt-4-1106-preview	GPT-4 Turbo (older v1106) ⚡	OpenAI	N	$0.00001/1M	1e-05	OpenAI: GPT-4 Turbo (older v1106) ⚡ ($0.00001/1M)
openai/gpt-4-turbo-preview	GPT-4 Turbo Preview ⚡	OpenAI	N	$0.00001/1M	1e-05	OpenAI: GPT-4 Turbo Preview ⚡ ($0.00001/1M)
openai/gpt-4-turbo	GPT-4 Turbo ⚡	OpenAI	N	$0.00001/1M	1e-05	OpenAI: GPT-4 Turbo ⚡ ($0.00001/1M)
openai/gpt-4	GPT-4 ⚡	OpenAI	N	$0.00003/1M	3e-05	OpenAI: GPT-4 ⚡ ($0.00003/1M)
openai/gpt-4.1-mini	GPT-4.1 Mini ⚡	OpenAI	N	$0.0000004/1M	4e-07	OpenAI: GPT-4.1 Mini ⚡ ($0.0000004/1M)
openai/gpt-4.1-nano	GPT-4.1 Nano ⚡	OpenAI	N	$0.0000001/1M	1e-07	OpenAI: GPT-4.1 Nano ⚡ ($0.0000001/1M)
openai/gpt-4.1	GPT-4.1 ⚡	OpenAI	N	$0.000002/1M	2e-06	OpenAI: GPT-4.1 ⚡ ($0.000002/1M)
openai/gpt-4o-2024-05-13	GPT-4o (2024-05-13) ⚡	OpenAI	N	$0.000005/1M	5e-06	OpenAI: GPT-4o (2024-05-13) ⚡ ($0.000005/1M)
openai/gpt-4o-2024-08-06	GPT-4o (2024-08-06) ⚡	OpenAI	N	$0.0000025/1M	2.5e-06	OpenAI: GPT-4o (2024-08-06) ⚡ ($0.0000025/1M)
openai/gpt-4o-2024-11-20	GPT-4o (2024-11-20) ⚡	OpenAI	N	$0.0000025/1M	2.5e-06	OpenAI: GPT-4o (2024-11-20) ⚡ ($0.0000025/1M)
openai/gpt-4o:extended	GPT-4o (extended) ⚡	OpenAI	N	$0.000006/1M	6e-06	OpenAI: GPT-4o (extended) ⚡ ($0.000006/1M)
openai/gpt-4o-search-preview	GPT-4o Search Preview ⚡	OpenAI	N	$0.0000025/1M	2.5e-06	OpenAI: GPT-4o Search Preview ⚡ ($0.0000025/1M)
openai/gpt-4o	GPT-4o ⚡	OpenAI	N	$0.0000025/1M	2.5e-06	OpenAI: GPT-4o ⚡ ($0.0000025/1M)
openai/gpt-4o-mini-2024-07-18	GPT-4o-mini (2024-07-18) ⚡	OpenAI	N	$0.00000015/1M	1.5e-07	OpenAI: GPT-4o-mini (2024-07-18) ⚡ ($0.00000015/1M)
openai/gpt-4o-mini-search-preview	GPT-4o-mini Search Preview ⚡	OpenAI	N	$0.00000015/1M	1.5e-07	OpenAI: GPT-4o-mini Search Preview ⚡ ($0.00000015/1M)
openai/gpt-4o-mini	GPT-4o-mini ⚡	OpenAI	N	$0.00000015/1M	1.5e-07	OpenAI: GPT-4o-mini ⚡ ($0.00000015/1M)
openai/o1	o1 🧠	OpenAI	N	$0.000015/1M	1.5e-05	OpenAI: o1 🧠 ($0.000015/1M)
openai/o1-mini-2024-09-12	o1-mini (2024-09-12) 🧠	OpenAI	N	$0.0000011/1M	1.1e-06	OpenAI: o1-mini (2024-09-12) 🧠 ($0.0000011/1M)
openai/o1-mini	o1-mini 🧠	OpenAI	N	$0.0000011/1M	1.1e-06	OpenAI: o1-mini 🧠 ($0.0000011/1M)
openai/o1-preview-2024-09-12	o1-preview (2024-09-12) 🧠	OpenAI	N	$0.000015/1M	1.5e-05	OpenAI: o1-preview (2024-09-12) 🧠 ($0.000015/1M)
openai/o1-preview	o1-preview 🧠	OpenAI	N	$0.000015/1M	1.5e-05	OpenAI: o1-preview 🧠 ($0.000015/1M)
openai/o1-pro	o1-pro 🧠	OpenAI	N	$0.00015/1M	0.00015	OpenAI: o1-pro 🧠 ($0.00015/1M)
openai/o3	o3	OpenAI	N	$0.000002/1M	2e-06	OpenAI: o3 ($0.000002/1M)
openai/o3-mini	o3 Mini	OpenAI	N	$0.0000011/1M	1.1e-06	OpenAI: o3 Mini ($0.0000011/1M)
openai/o3-mini-high	o3 Mini High	OpenAI	N	$0.0000011/1M	1.1e-06	OpenAI: o3 Mini High ($0.0000011/1M)
openai/o3-pro	o3 Pro	OpenAI	N	$0.00002/1M	2e-05	OpenAI: o3 Pro ($0.00002/1M)
openai/o4-mini	o4 Mini	OpenAI	N	$0.0000011/1M	1.1e-06	OpenAI: o4 Mini ($0.0000011/1M)
openai/o4-mini-high	o4 Mini High	OpenAI	N	$0.0000011/1M	1.1e-06	OpenAI: o4 Mini High ($0.0000011/1M)
opengvlab/internvl3-14b	InternVL3 14B	OpenGVLab	N	$0.0000002/1M	2e-07	OpenGVLab: InternVL3 14B ($0.0000002/1M)
perplexity/r1-1776	R1 1776 🧠	Perplexity	N	$0.000002/1M	2e-06	Perplexity: R1 1776 🧠 ($0.000002/1M)
perplexity/sonar	Sonar	Perplexity	N	$0.000001/1M	1e-06	Perplexity: Sonar ($0.000001/1M)
perplexity/sonar-deep-research	Sonar Deep Research	Perplexity	N	$0.000002/1M	2e-06	Perplexity: Sonar Deep Research ($0.000002/1M)
perplexity/sonar-pro	Sonar Pro	Perplexity	N	$0.000003/1M	3e-06	Perplexity: Sonar Pro ($0.000003/1M)
perplexity/sonar-reasoning	Sonar Reasoning	Perplexity	N	$0.000001/1M	1e-06	Perplexity: Sonar Reasoning ($0.000001/1M)
perplexity/sonar-reasoning-pro	Sonar Reasoning Pro	Perplexity	N	$0.000002/1M	2e-06	Perplexity: Sonar Reasoning Pro ($0.000002/1M)
pygmalionai/mythalion-13b	Mythalion 13B	Pygmalion	N	$0.0000008/1M	8e-07	Pygmalion: Mythalion 13B ($0.0000008/1M)
featherless/qwerky-72b:free	72B (free)	Qrwkv	Y	$0/1M	0.0	Qrwkv 72B (free) ($0/1M)
qwen/qwen-2-72b-instruct	2 72B Instruct	Qwen	N	$0.0000009/1M	9e-07	Qwen 2 72B Instruct ($0.0000009/1M)
qwen/qwen-2.5-72b-instruct	72B Instruct	Qwen2.5	N	$0.000000101/1M	1.01e-07	Qwen2.5 72B Instruct ($0.000000101/1M)
qwen/qwen-2.5-72b-instruct:free	72B Instruct (free)	Qwen2.5	Y	$0/1M	0.0	Qwen2.5 72B Instruct (free) ($0/1M)
qwen/qwen-2.5-7b-instruct	7B Instruct	Qwen2.5	N	$0.00000004/1M	4e-08	Qwen2.5 7B Instruct ($0.00000004/1M)
qwen/qwen-2.5-coder-32b-instruct	Coder 32B Instruct	Qwen2.5	N	$0.00000006/1M	6e-08	Qwen2.5 Coder 32B Instruct ($0.00000006/1M)
qwen/qwen-2.5-coder-32b-instruct:free	Coder 32B Instruct (free)	Qwen2.5	Y	$0/1M	0.0	Qwen2.5 Coder 32B Instruct (free) ($0/1M)
qwen/qwq-32b	QwQ 32B	Qwen	N	$0.000000075/1M	7.5e-08	Qwen: QwQ 32B ($0.000000075/1M)
qwen/qwq-32b:free	QwQ 32B (free)	Qwen	Y	$0/1M	0.0	Qwen: QwQ 32B (free) ($0/1M)
qwen/qwq-32b-preview	QwQ 32B Preview	Qwen	N	$0.0000002/1M	2e-07	Qwen: QwQ 32B Preview ($0.0000002/1M)
qwen/qwen-vl-max	Qwen VL Max	Qwen	N	$0.0000008/1M	8e-07	Qwen: Qwen VL Max ($0.0000008/1M)
qwen/qwen-vl-plus	Qwen VL Plus	Qwen	N	$0.00000021/1M	2.1e-07	Qwen: Qwen VL Plus ($0.00000021/1M)
qwen/qwen-max	Qwen-Max	Qwen	N	$0.0000016/1M	1.6e-06	Qwen: Qwen-Max  ($0.0000016/1M)
qwen/qwen-plus	Qwen-Plus	Qwen	N	$0.0000004/1M	4e-07	Qwen: Qwen-Plus ($0.0000004/1M)
qwen/qwen-turbo	Qwen-Turbo	Qwen	N	$0.00000005/1M	5e-08	Qwen: Qwen-Turbo ($0.00000005/1M)
qwen/qwen2.5-vl-32b-instruct	Qwen2.5 VL 32B Instruct	Qwen	N	$0.0000002/1M	2e-07	Qwen: Qwen2.5 VL 32B Instruct ($0.0000002/1M)
qwen/qwen2.5-vl-32b-instruct:free	Qwen2.5 VL 32B Instruct (free)	Qwen	Y	$0/1M	0.0	Qwen: Qwen2.5 VL 32B Instruct (free) ($0/1M)
qwen/qwen2.5-vl-72b-instruct	Qwen2.5 VL 72B Instruct	Qwen	N	$0.00000025/1M	2.5e-07	Qwen: Qwen2.5 VL 72B Instruct ($0.00000025/1M)
qwen/qwen2.5-vl-72b-instruct:free	Qwen2.5 VL 72B Instruct (free)	Qwen	Y	$0/1M	0.0	Qwen: Qwen2.5 VL 72B Instruct (free) ($0/1M)
qwen/qwen-2.5-vl-7b-instruct	Qwen2.5-VL 7B Instruct	Qwen	N	$0.0000002/1M	2e-07	Qwen: Qwen2.5-VL 7B Instruct ($0.0000002/1M)
qwen/qwen3-14b	Qwen3 14B	Qwen	N	$0.00000006/1M	6e-08	Qwen: Qwen3 14B ($0.00000006/1M)
qwen/qwen3-14b:free	Qwen3 14B (free)	Qwen	Y	$0/1M	0.0	Qwen: Qwen3 14B (free) ($0/1M)
qwen/qwen3-235b-a22b	Qwen3 235B A22B	Qwen	N	$0.00000013/1M	1.3e-07	Qwen: Qwen3 235B A22B ($0.00000013/1M)
qwen/qwen3-235b-a22b:free	Qwen3 235B A22B (free)	Qwen	Y	$0/1M	0.0	Qwen: Qwen3 235B A22B (free) ($0/1M)
qwen/qwen3-235b-a22b-2507	Qwen3 235B A22B Instruct 2507	Qwen	N	$0.00000012/1M	1.2e-07	Qwen: Qwen3 235B A22B Instruct 2507 ($0.00000012/1M)
qwen/qwen3-235b-a22b-2507:free	Qwen3 235B A22B Instruct 2507 (free)	Qwen	Y	$0/1M	0.0	Qwen: Qwen3 235B A22B Instruct 2507 (free) ($0/1M)
qwen/qwen3-235b-a22b-thinking-2507	Qwen3 235B A22B Thinking 2507	Qwen	N	$0.0000001179/1M	1.179e-07	Qwen: Qwen3 235B A22B Thinking 2507 ($0.0000001179/1M)
qwen/qwen3-30b-a3b	Qwen3 30B A3B	Qwen	N	$0.00000008/1M	8e-08	Qwen: Qwen3 30B A3B ($0.00000008/1M)
qwen/qwen3-30b-a3b:free	Qwen3 30B A3B (free)	Qwen	Y	$0/1M	0.0	Qwen: Qwen3 30B A3B (free) ($0/1M)
qwen/qwen3-32b	Qwen3 32B	Qwen	N	$0.000000027/1M	2.7e-08	Qwen: Qwen3 32B ($0.000000027/1M)
qwen/qwen3-4b:free	Qwen3 4B (free)	Qwen	Y	$0/1M	0.0	Qwen: Qwen3 4B (free) ($0/1M)
qwen/qwen3-8b	Qwen3 8B	Qwen	N	$0.000000035/1M	3.5e-08	Qwen: Qwen3 8B ($0.000000035/1M)
qwen/qwen3-8b:free	Qwen3 8B (free)	Qwen	Y	$0/1M	0.0	Qwen: Qwen3 8B (free) ($0/1M)
qwen/qwen3-coder	Qwen3 Coder	Qwen	N	$0.0000003/1M	3e-07	Qwen: Qwen3 Coder  ($0.0000003/1M)
qwen/qwen3-coder:free	Qwen3 Coder  (free)	Qwen	Y	$0/1M	0.0	Qwen: Qwen3 Coder  (free) ($0/1M)
undi95/remm-slerp-l2-13b	SLERP 13B	ReMM	N	$0.0000007/1M	7e-07	ReMM SLERP 13B ($0.0000007/1M)
rekaai/reka-flash-3	Flash 3	Reka	N	$0.000000013/1M	1.3e-08	Reka: Flash 3 ($0.000000013/1M)
rekaai/reka-flash-3:free	Flash 3 (free)	Reka	Y	$0/1M	0.0	Reka: Flash 3 (free) ($0/1M)
sao10k/l3-lunaris-8b	Llama 3 8B Lunaris 🧠	Sao10K	N	$0.00000002/1M	2e-08	Sao10K: Llama 3 8B Lunaris 🧠 ($0.00000002/1M)
sao10k/l3.1-euryale-70b	Llama 3.1 Euryale 70B v2.2 🧠	Sao10K	N	$0.00000065/1M	6.5e-07	Sao10K: Llama 3.1 Euryale 70B v2.2 🧠 ($0.00000065/1M)
sao10k/l3.3-euryale-70b	Llama 3.3 Euryale 70B 🧠	Sao10K	N	$0.00000065/1M	6.5e-07	Sao10K: Llama 3.3 Euryale 70B 🧠 ($0.00000065/1M)
sao10k/l3-euryale-70b	Llama 3 Euryale 70B v2.1 🧠	Sao10k	N	$0.00000148/1M	1.48e-06	Sao10k: Llama 3 Euryale 70B v2.1 🧠 ($0.00000148/1M)
sarvamai/sarvam-m	Sarvam-M	Sarvam AI	N	$0.000000022/1M	2.2e-08	Sarvam AI: Sarvam-M ($0.000000022/1M)
sarvamai/sarvam-m:free	Sarvam-M (free)	Sarvam AI	Y	$0/1M	0.0	Sarvam AI: Sarvam-M (free) ($0/1M)
shisa-ai/shisa-v2-llama3.3-70b	Shisa V2 Llama 3.3 70B	Shisa AI	N	$0.00000003/1M	3e-08	Shisa AI: Shisa V2 Llama 3.3 70B  ($0.00000003/1M)
shisa-ai/shisa-v2-llama3.3-70b:free	Shisa V2 Llama 3.3 70B  (free)	Shisa AI	Y	$0/1M	0.0	Shisa AI: Shisa V2 Llama 3.3 70B  (free) ($0/1M)
raifle/sorcererlm-8x22b	8x22B	SorcererLM	N	$0.0000045/1M	4.5e-06	SorcererLM 8x22B ($0.0000045/1M)
switchpoint/router	Router	Switchpoint	N	$0.00000085/1M	8.5e-07	Switchpoint Router ($0.00000085/1M)
thudm/glm-4-32b	GLM 4 32B	THUDM	N	$0.00000024/1M	2.4e-07	THUDM: GLM 4 32B ($0.00000024/1M)
thudm/glm-4-32b:free	GLM 4 32B (free)	THUDM	Y	$0/1M	0.0	THUDM: GLM 4 32B (free) ($0/1M)
thudm/glm-4.1v-9b-thinking	GLM 4.1V 9B Thinking	THUDM	N	$0.000000035/1M	3.5e-08	THUDM: GLM 4.1V 9B Thinking ($0.000000035/1M)
thudm/glm-z1-32b	GLM Z1 32B	THUDM	N	$0.00000003/1M	3e-08	THUDM: GLM Z1 32B ($0.00000003/1M)
thudm/glm-z1-32b:free	GLM Z1 32B (free)	THUDM	Y	$0/1M	0.0	THUDM: GLM Z1 32B (free) ($0/1M)
tngtech/deepseek-r1t-chimera:free	DeepSeek R1T Chimera (free) 🧠	TNG	Y	$0/1M	0.0	TNG: DeepSeek R1T Chimera (free) 🧠 ($0/1M)
tngtech/deepseek-r1t2-chimera:free	DeepSeek R1T2 Chimera (free) 🧠	TNG	Y	$0/1M	0.0	TNG: DeepSeek R1T2 Chimera (free) 🧠 ($0/1M)
tngtech/deepseek-r1t2-chimera	DeepSeek R1T2 Chimera 🧠	TNG	N	$0.000000302/1M	3.02e-07	TNG: DeepSeek R1T2 Chimera 🧠 ($0.000000302/1M)
tencent/hunyuan-a13b-instruct	Hunyuan A13B Instruct	Tencent	N	$0.00000003/1M	3e-08	Tencent: Hunyuan A13B Instruct ($0.00000003/1M)
tencent/hunyuan-a13b-instruct:free	Hunyuan A13B Instruct (free)	Tencent	Y	$0/1M	0.0	Tencent: Hunyuan A13B Instruct (free) ($0/1M)
thedrummer/anubis-70b-v1.1	Anubis 70B V1.1	TheDrummer	N	$0.0000005/1M	5e-07	TheDrummer: Anubis 70B V1.1 ($0.0000005/1M)
thedrummer/anubis-pro-105b-v1	Anubis Pro 105B V1	TheDrummer	N	$0.0000005/1M	5e-07	TheDrummer: Anubis Pro 105B V1 ($0.0000005/1M)
thedrummer/rocinante-12b	Rocinante 12B	TheDrummer	N	$0.0000002/1M	2e-07	TheDrummer: Rocinante 12B ($0.0000002/1M)
thedrummer/skyfall-36b-v2	Skyfall 36B V2	TheDrummer	N	$0.00000001512/1M	1.512e-08	TheDrummer: Skyfall 36B V2 ($0.00000001512/1M)
thedrummer/unslopnemo-12b	UnslopNemo 12B	TheDrummer	N	$0.0000004/1M	4e-07	TheDrummer: UnslopNemo 12B ($0.0000004/1M)
thedrummer/valkyrie-49b-v1	Valkyrie 49B V1	TheDrummer	N	$0.00000065/1M	6.5e-07	TheDrummer: Valkyrie 49B V1 ($0.00000065/1M)
undi95/toppy-m-7b	M 7B	Toppy	N	$0.0000008/1M	8e-07	Toppy M 7B ($0.0000008/1M)
scb10x/llama3.1-typhoon2-70b-instruct	70B Instruct	Typhoon2	N	$0.00000088/1M	8.8e-07	Typhoon2 70B Instruct ($0.00000088/1M)
cognitivecomputations/dolphin-mistral-24b-venice-edition:free	Uncensored (free)	Venice	Y	$0/1M	0.0	Venice: Uncensored (free) ($0/1M)
microsoft/wizardlm-2-8x22b	8x22B	WizardLM-2	N	$0.00000048/1M	4.8e-07	WizardLM-2 8x22B ($0.00000048/1M)
z-ai/glm-4-32b	GLM 4 32B	Z.AI	N	$0.0000001/1M	1e-07	Z.AI: GLM 4 32B  ($0.0000001/1M)
x-ai/grok-2-1212	Grok 2 1212	xAI	N	$0.000002/1M	2e-06	xAI: Grok 2 1212 ($0.000002/1M)
x-ai/grok-2-vision-1212	Grok 2 Vision 1212	xAI	N	$0.000002/1M	2e-06	xAI: Grok 2 Vision 1212 ($0.000002/1M)
x-ai/grok-3	Grok 3	xAI	N	$0.000003/1M	3e-06	xAI: Grok 3 ($0.000003/1M)
x-ai/grok-3-beta	Grok 3 Beta	xAI	N	$0.000003/1M	3e-06	xAI: Grok 3 Beta ($0.000003/1M)
x-ai/grok-3-mini	Grok 3 Mini	xAI	N	$0.0000003/1M	3e-07	xAI: Grok 3 Mini ($0.0000003/1M)
x-ai/grok-3-mini-beta	Grok 3 Mini Beta	xAI	N	$0.0000003/1M	3e-07	xAI: Grok 3 Mini Beta ($0.0000003/1M)
x-ai/grok-4	Grok 4	xAI	N	$0.000003/1M	3e-06	xAI: Grok 4 ($0.000003/1M)
x-ai/grok-vision-beta	Grok Vision Beta	xAI	N	$0.000005/1M	5e-06	xAI: Grok Vision Beta ($0.000005/1M)
